Age,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
<10,29785,31001,32123,32971,34089,35315,36656,37118,37828,38519,39151,39718,40110,40337,40401,40201,39781,39096,38328,37618,37086,36639,35948,35130,34292,33716,33288,33093,33035,33010,33054,32953,33186,33600,34033,34506,35061,35482,35955,36425,36933,37489,37959,38375,38802,39065,39269,39487,39655,39742,39642,39472,39302,39213,39240,39306,39484,39841,40201,40427,40521,40461,40452,40443,40396,41473,41742,41991,42272,42690,43115,43513,43723,43909,44074,44218,44344,44452,44546,44628,44703,44775,44850,44931,45023,45127,45245,45381,45534,45704,45891,46091,46302,46521,46748,46977,47208,47439,47665,47886,48098,48301,48493,48672,48840,48995,49140,49274,49400,49520,49635
10-19,21888,22057,22498,23355,24085,24677,25258,26843,28047,29239,30368,31595,32744,33637,34797,36076,37439,37911,38661,39397,40186,40884,41395,41748,41952,41931,41622,41044,40416,39847,39347,38841,38106,37256,36381,35755,35287,35075,34993,34930,34984,35026,35492,36195,36877,37581,38355,38998,39665,40298,40933,41435,41872,42213,42514,42699,42841,42909,42918,42853,42664,42380,42051,41854,41739,41448,41457,41532,41600,41543,41422,41397,41664,41939,42208,42505,42807,43089,43403,43854,44310,44737,44973,45182,45367,45529,45670,45791,45895,45985,46067,46145,46227,46315,46414,46525,46651,46793,46953,47131,47324,47531,47749,47975,48206,48442,48678,48914,49145,49370,49587
20-29,24042,23847,23537,23194,22815,22548,22338,22143,22028,22016,22070,22352,22816,23687,24437,25087,25712,27341,28586,29770,30938,32200,33394,34308,35497,36807,38260,38777,39629,40474,41072,41832,42386,42773,42988,42936,42637,42048,41394,40818,40427,40158,39691,39059,38396,37980,37741,37809,37971,38166,38397,38577,38935,39363,39953,40495,41146,41621,42083,42462,42849,43463,44008,44452,44900,44931,45078,45213,45261,45199,45016,44756,44466,44302,44227,44226,44326,44491,44649,44683,44653,44709,45049,45389,45714,46060,46403,46721,47064,47538,48013,48459,48714,48942,49146,49327,49487,49627,49749,49857,49955,50051,50148,50252,50366,50492,50632,50787,50960,51149,51354
30-39,23021,23357,23687,23872,24098,24304,24462,24572,24618,24600,24525,24362,24111,23789,23424,23145,22910,22726,22650,22642,22742,23037,23542,24423,25153,25825,26412,28074,29377,30660,31819,33098,34280,35184,36370,37629,39090,39603,40384,41131,41929,42878,43679,44310,44725,44864,44731,44350,43879,43486,43175,42888,42410,41736,41034,40523,40226,40135,40122,40153,40150,40144,40447,40945,41450,41866,42496,43014,43590,44212,44774,45451,46024,46499,46988,47266,47494,47710,47840,47861,47762,47583,47369,47276,47265,47321,47471,47679,47873,47936,47927,48004,48362,48720,49063,49426,49787,50121,50481,50971,51462,51922,52193,52437,52656,52851,53025,53179,53314,53434,53545
40-49,19432,19764,20155,20517,20871,21215,21518,21821,22103,22341,22593,22851,23118,23381,23616,23806,23973,24115,24202,24204,24146,24000,23734,23500,23225,22982,22818,22710,22698,22758,22777,23013,23476,24351,25064,25693,26276,27902,29142,30381,31622,32881,34205,35198,36475,37843,39376,40011,40936,41848,42738,43515,44142,44613,44991,45124,45018,44632,44196,43842,43544,43237,42774,42147,41480,40861,40538,40425,40376,40341,40369,40386,40700,41207,41726,42281,42939,43487,44093,44744,45338,46045,46648,47153,47672,47979,48235,48476,48629,48673,48596,48437,48243,48168,48173,48245,48409,48630,48837,48913,48917,49005,49372,49737,50086,50455,50822,51162,51527,52020,52515
50-59,15604,15813,15948,16093,16287,16512,16776,17073,17406,17775,18135,18523,18922,19302,19655,19964,20234,20465,20678,20898,21172,21466,21807,22076,22346,22618,22854,23061,23241,23307,23306,23149,22876,22612,22308,22082,21916,21770,21717,21746,21856,22134,22656,23587,24371,25039,25670,27396,28707,30008,31345,32656,33883,34912,36172,37582,38968,39595,40454,41285,42149,42850,43389,43801,44082,44037,43803,43362,42892,42503,42214,41926,41482,40877,40232,39808,39522,39440,39420,39415,39476,39525,39859,40376,40903,41467,42129,42684,43295,43953,44561,45276,45890,46407,46936,47258,47528,47782,47951,48013,47960,47827,47658,47604,47629,47718,47895,48128,48347,48435,48453
60-69,11152,11425,11713,12003,12270,12515,12743,12949,13101,13255,13434,13561,13672,13775,13924,14122,14366,14670,15006,15347,15702,16042,16461,16835,17191,17532,17820,18079,18312,18611,18952,19257,19571,19782,20017,20250,20403,20518,20612,20669,20702,20641,20473,20336,20158,20114,20073,20044,20099,20235,20387,20699,21199,22025,22772,23417,24086,25644,26937,28217,29511,30706,31818,32747,33891,35086,36330,36852,37569,38288,39069,39743,40268,40675,40962,41032,40848,40474,40074,39751,39531,39309,38932,38402,37835,37476,37237,37190,37201,37230,37333,37423,37779,38303,38831,39400,40056,40611,41220,41875,42493,43209,43825,44348,44878,45212,45494,45759,45943,46029,46011
70-79,5599,5797,6004,6215,6456,6696,6919,7146,7367,7624,7854,8087,8312,8509,8696,8848,8978,9096,9190,9265,9338,9501,9569,9677,9837,10031,10264,10563,10941,11316,11671,11950,12242,12524,12786,13026,13239,13474,13713,13929,14172,14538,14891,15136,15374,15597,15764,15933,16121,16220,16299,16277,16221,16168,16056,16067,16097,16129,16257,16436,16656,17000,17513,18304,18995,19561,20143,21528,22643,23708,24754,25772,26727,27553,28545,29622,30683,31201,31866,32524,33239,33854,34336,34720,35002,35100,34968,34679,34371,34137,34014,33886,33612,33202,32763,32510,32344,32346,32401,32480,32653,32809,33188,33700,34205,34756,35369,35895,36469,37089,37698
>= 80,1749,1817,1888,1965,2054,2148,2234,2317,2383,2460,2541,2642,2734,2824,2939,3053,3166,3292,3406,3535,3743,3891,4046,4212,4361,4533,4696,4839,4936,5072,5227,5373,5542,5710,5877,6047,6225,6417,6589,6790,6996,7236,7469,7722,7949,8195,8415,8619,8821,9036,9247,9451,9663,9865,10074,10304,10514,10727,10926,11095,11302,11481,11660,11806,11923,12098,12263,12430,12655,12889,13163,13472,13878,14475,14967,15450,15904,16959,17829,18647,19459,20255,21054,21877,22724,23604,24429,25281,26088,26837,27615,28300,28883,29413,29892,30265,30432,30520,30583,30692,30942,31141,31173,31086,30970,30952,30869,30891,30963,31114,31472
Total Population,152271,154878,157553,160184,163026,165931,168903,171984,174882,177830,180671,183691,186538,189242,191889,194303,196560,198712,200706,202677,205052,207661,209896,211909,213854,215973,218035,220239,222585,225055,227225,229466,231664,233792,235825,237924,240133,242289,244499,246819,249623,252981,256514,259919,263126,266278,269394,272647,275854,279040,282162,284969,287625,290108,292805,295517,298380,301231,304094,306772,309347,311722,314112,316498,318857,321363,323849,326348,328857,331375,333896,336416,338930,341436,343929,346407,348867,351304,353718,356107,358471,360792,363070,365307,367503,369662,371788,373883,375950,377993,380016,382021,384012,385992,387965,389934,391902,393870,395841,397818,399803,401796,403798,405811,407835,409873,411923,413989,416068,418161,420268
